Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
3,1,22,1,0,521171,7.25,300,3
1,0,38,1,0,17599,71.2833,340,1
3,0,26,0,0,23101282,7.925,300,3
1,0,35,1,0,113803,53.1,340,3
3,1,35,0,0,373450,8.05,300,3
3,1,30.2,0,0,330877,8.4583,340,2
1,1,54,0,0,17463,51.8625,340,3
3,1,2,3,1,349909,21.075,500,3
3,0,27,0,2,347742,11.1333,340,3
2,0,14,1,0,237736,30.0708,340,1
3,0,4,1,1,9549,16.7,340,3
1,0,58,0,0,113783,26.55,700,3
3,1,20,0,0,52151,8.05,300,3
3,1,39,1,5,347082,31.275,340,3
3,0,14,0,0,350406,7.8542,340,3
2,0,55,0,0,248706,16,340,3
3,1,2,4,1,382652,29.125,340,2
2,1,30.2,0,0,244373,13,340,3
3,0,31,1,0,345763,18,340,3
3,0,30.2,0,0,2649,7.225,340,1
2,1,35,0,0,239865,26,340,3
2,1,34,0,0,248698,13,340,3
3,0,15,0,0,330923,8.0292,400,2
1,1,28,0,0,113788,35.5,340,3
3,0,8,3,1,349909,21.075,100,3
3,0,38,1,5,347077,31.3875,340,3
3,1,30.2,0,0,2631,7.225,340,1
1,1,19,3,2,19950,263,340,3
3,0,30.2,0,0,330959,7.8792,300,2
3,1,30.2,0,0,349216,7.8958,340,3
1,1,40,0,0,17601,27.7208,340,1
1,0,30.2,1,0,17569,146.5208,340,1
3,0,30.2,0,0,335677,7.75,200,2
2,1,66,0,0,24579,10.5,340,3
1,1,28,1,0,17604,82.1708,340,1
1,1,42,1,0,113789,52,340,3
3,1,30.2,0,0,2677,7.2292,340,1
3,1,21,0,0,52152,8.05,340,3
3,0,18,2,0,345764,18,340,3
3,0,14,1,0,2651,11.2417,340,1
3,0,40,1,0,7546,9.475,340,3
2,0,27,1,0,11668,21,340,3
3,1,30.2,0,0,349253,7.8958,340,1
2,0,3,1,2,2123,41.5792,340,1
3,0,19,0,0,330958,7.8792,340,2
3,1,30.2,0,0,423567,8.05,340,3
3,1,30.2,1,0,370371,15.5,340,2
3,0,30.2,0,0,14311,7.75,340,2
