Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
3,1,34.5,0,0,330911,7.8292,320,2
3,0,47,1,0,363272,7,320,3
2,1,62,0,0,240276,9.6875,320,2
3,1,27,0,0,315154,8.6625,320,3
3,0,22,1,1,3101298,12.2875,320,3
3,1,14,0,0,7538,9.225,320,3
3,0,30,0,0,330972,7.6292,320,2
2,1,26,1,1,248738,29,320,3
3,0,18,0,0,2657,7.2292,320,1
3,1,21,2,0,448871,24.15,320,3
3,1,30.2,0,0,349220,7.8958,320,3
1,1,46,0,0,694,26,320,3
1,0,23,1,0,21228,82.2667,200,3
2,1,63,1,0,24065,26,320,3
1,0,47,1,0,5734,61.175,500,3
2,0,24,1,0,2167,27.7208,320,1
2,1,35,0,0,233734,12.35,320,2
3,1,21,0,0,2692,7.225,320,1
3,0,27,1,0,23101270,7.925,320,3
3,0,45,0,0,2696,7.225,320,1
1,1,55,1,0,17603,59.4,320,1
3,1,9,0,1,17368,3.1708,320,3
1,0,30.2,0,0,17598,31.6833,320,3
1,1,21,0,1,17597,61.3792,320,1
1,0,48,1,3,17608,262.375,200,1
3,1,50,1,0,53337,14.5,320,3
1,0,22,0,1,113509,61.9792,200,1
3,1,22.5,0,0,2698,7.225,320,1
1,1,41,0,0,113054,30.5,100,3
3,1,30.2,2,0,2662,21.6792,320,1
2,1,50,1,0,3085,26,320,3
2,1,24,2,0,31029,31.5,320,3
3,0,33,1,2,2315,20.575,320,3
3,0,30.2,1,2,6607,23.45,320,3
1,1,30,1,0,13236,57.75,300,1
3,1,18.5,0,0,2682,7.2292,320,1
3,0,30.2,0,0,342712,8.05,320,3
3,0,21,0,0,315087,8.6625,320,3
3,1,25,0,0,345768,9.5,320,3
3,1,30.2,0,0,1601,56.4958,320,3
3,1,39,0,1,349256,13.4167,320,1
1,1,30.2,0,0,113778,26.55,400,3
3,1,41,0,0,3101263,7.85,320,3
2,0,30,0,0,237249,13,320,3
1,0,45,1,0,11753,52.5542,400,3
3,1,25,0,0,23101291,7.925,320,3
1,1,45,0,0,17594,29.7,100,1
3,1,30.2,0,0,370374,7.75,320,2
1,0,60,0,0,11813,76.2917,400,1
3,0,36,0,2,37671,15.9,320,3
1,1,24,1,0,13695,60,300,3
2,1,27,0,0,2168,15.0333,320,1
2,0,20,2,1,29105,23,320,3
1,0,28,3,2,19950,263,300,3
2,1,30.2,0,0,32861,15.5792,320,1
3,1,10,4,1,382652,29.125,320,2
3,1,35,0,0,349230,7.8958,320,3
3,1,25,0,0,348122,7.65,650,3
3,1,30.2,1,0,386525,16.1,320,3
1,0,36,0,0,17608,262.375,200,1
3,1,17,0,0,349232,7.8958,320,3
2,1,32,0,0,237216,13.5,320,3
3,1,18,0,0,347090,7.75,320,3
3,0,22,0,0,334914,7.725,320,2
1,1,13,2,2,17608,262.375,200,1
2,0,30.2,0,0,13534,21,320,3
3,0,18,0,0,330963,7.8792,320,2
1,1,47,0,0,113796,42.4,320,3
1,1,31,0,0,2543,28.5375,300,1
1,0,60,1,4,19950,263,300,3
3,0,24,0,0,382653,7.75,320,2
3,1,21,0,0,349211,7.8958,320,3
3,0,29,0,0,3101297,7.925,320,3
1,1,28.5,0,0,17562,27.7208,400,1
1,0,35,0,0,113503,211.5,300,1
1,1,32.5,0,0,113503,211.5,300,1
3,1,30.2,0,0,359306,8.05,320,3
1,0,55,2,0,11770,25.7,300,3
2,1,30,0,0,248744,13,320,3
3,0,24,0,0,368702,7.75,320,2
3,1,6,1,1,2678,15.2458,320,1
1,1,67,1,0,17483,221.7792,300,3
1,1,49,0,0,19924,26,320,3
3,1,30.2,0,0,349238,7.8958,320,3
2,1,30.2,0,0,240261,10.7083,320,2
3,1,30.2,1,0,2660,14.4542,320,1
3,0,27,0,0,330844,7.8792,320,2
3,0,18,0,0,431416,8.05,320,3
3,0,30.2,0,0,364856,7.75,320,2
2,1,2,1,1,29103,23,320,3
3,0,22,1,0,347072,13.9,320,3
3,1,30.2,0,0,345498,7.775,320,3
1,0,27,1,2,12750,52,200,3
3,1,30.2,0,0,376563,8.05,320,3
1,1,25,0,0,13905,26,320,1
3,1,25,0,0,350033,7.7958,320,3
1,0,76,1,0,19877,78.85,300,3
3,1,29,0,0,23101268,7.925,320,3
3,0,20,0,0,347471,7.8542,320,3
3,1,33,0,0,53338,8.05,320,3
1,0,43,1,0,11778,55.4417,300,1
2,1,27,1,0,228414,26,320,3
3,1,30.2,0,0,365235,7.75,320,2
3,1,26,0,0,347070,7.775,320,3
3,0,16,1,1,2625,8.5167,320,1
3,1,28,0,0,4001,22.525,320,3
3,1,21,0,0,330920,7.8208,320,2
3,1,30.2,0,0,383162,7.75,320,2
3,1,30.2,0,0,3410,8.7125,320,3
2,1,18.5,0,0,248734,13,600,3
2,1,41,0,0,237734,15.0458,320,1
